agent_id,condition,rating
Agent_0001,intentional,7
Agent_0002,intentional,7
Agent_0003,intentional,7
Agent_0004,intentional,7
Agent_0005,intentional,7
Agent_0006,intentional,7
Agent_0007,intentional,7
Agent_0008,intentional,7
Agent_0009,intentional,7
Agent_0010,intentional,7
Agent_0011,intentional,7
Agent_0012,intentional,7
Agent_0013,intentional,7
Agent_0014,intentional,7
Agent_0015,intentional,7
Agent_0016,intentional,7
Agent_0017,intentional,7
Agent_0018,intentional,7
Agent_0019,intentional,7
Agent_0020,intentional,7
Agent_0021,intentional,7
Agent_0022,intentional,7
Agent_0023,intentional,7
Agent_0024,intentional,7
Agent_0025,intentional,7
Agent_0026,intentional,7
Agent_0027,intentional,7
Agent_0028,intentional,7
Agent_0029,intentional,7
Agent_0030,intentional,7
Agent_0031,intentional,7
Agent_0032,intentional,7
Agent_0033,intentional,7
Agent_0034,intentional,7
Agent_0035,intentional,7
Agent_0036,intentional,7
Agent_0037,intentional,7
Agent_0038,intentional,7
Agent_0039,intentional,7
Agent_0040,intentional,7
Agent_0041,intentional,7
Agent_0042,intentional,7
Agent_0043,intentional,7
Agent_0044,intentional,7
Agent_0045,intentional,7
Agent_0046,intentional,7
Agent_0047,intentional,7
Agent_0048,intentional,7
Agent_0049,intentional,7
Agent_0050,intentional,7
Agent_0051,intentional,7
Agent_0052,intentional,7
Agent_0053,intentional,7
Agent_0054,intentional,7
Agent_0055,intentional,7
Agent_0056,intentional,7
Agent_0057,intentional,7
Agent_0058,intentional,7
Agent_0059,intentional,7
Agent_0060,intentional,7
Agent_0061,intentional,7
Agent_0062,intentional,7
Agent_0063,intentional,7
Agent_0064,intentional,7
Agent_0065,intentional,7
Agent_0066,intentional,7
Agent_0067,intentional,7
Agent_0068,intentional,7
Agent_0069,intentional,7
Agent_0070,intentional,7
Agent_0071,intentional,7
Agent_0072,intentional,7
Agent_0073,intentional,7
Agent_0074,intentional,7
Agent_0075,intentional,7
Agent_0076,intentional,7
Agent_0077,intentional,7
Agent_0078,intentional,7
Agent_0079,intentional,7
Agent_0080,intentional,7
Agent_0081,intentional,7
Agent_0082,intentional,7
Agent_0083,intentional,7
Agent_0084,intentional,7
Agent_0085,intentional,7
Agent_0086,intentional,7
Agent_0087,intentional,7
Agent_0088,intentional,7
Agent_0089,intentional,7
Agent_0090,intentional,7
Agent_0091,intentional,7
Agent_0092,intentional,7
Agent_0093,intentional,7
Agent_0094,intentional,7
Agent_0095,intentional,7
Agent_0096,intentional,7
Agent_0097,intentional,7
Agent_0098,intentional,7
Agent_0099,intentional,7
Agent_0100,intentional,7
Agent_0101,intentional,7
Agent_0102,intentional,7
Agent_0103,intentional,7
Agent_0104,intentional,7
Agent_0105,intentional,7
Agent_0106,intentional,7
Agent_0107,intentional,7
Agent_0108,intentional,7
Agent_0109,intentional,7
Agent_0110,intentional,7
Agent_0111,intentional,7
Agent_0112,intentional,7
Agent_0113,intentional,7
Agent_0114,intentional,7
Agent_0115,intentional,7
Agent_0116,intentional,7
Agent_0117,intentional,7
Agent_0118,intentional,7
Agent_0119,intentional,7
Agent_0120,intentional,7
Agent_0121,intentional,7
Agent_0122,intentional,7
Agent_0123,intentional,7
Agent_0124,intentional,7
Agent_0125,intentional,7
Agent_0126,intentional,7
Agent_0127,intentional,7
Agent_0128,intentional,7
Agent_0129,intentional,7
Agent_0130,intentional,7
Agent_0131,intentional,7
Agent_0132,intentional,7
Agent_0133,intentional,7
Agent_0134,intentional,7
Agent_0135,intentional,7
Agent_0136,intentional,7
Agent_0137,intentional,7
Agent_0138,intentional,7
Agent_0139,intentional,7
Agent_0140,intentional,7
Agent_0141,intentional,7
Agent_0142,intentional,7
Agent_0143,intentional,7
Agent_0144,intentional,7
Agent_0145,intentional,7
Agent_0146,intentional,7
Agent_0147,intentional,7
Agent_0148,intentional,7
Agent_0149,intentional,7
Agent_0150,intentional,7
Agent_0151,intentional,7
Agent_0152,intentional,7
Agent_0153,intentional,7
Agent_0154,intentional,7
Agent_0155,intentional,7
Agent_0156,intentional,7
Agent_0157,intentional,7
Agent_0158,intentional,7
Agent_0159,intentional,7
Agent_0160,intentional,7
Agent_0161,intentional,7
Agent_0162,intentional,7
Agent_0163,intentional,7
Agent_0164,intentional,7
Agent_0165,intentional,7
Agent_0166,intentional,7
Agent_0167,intentional,7
Agent_0168,intentional,7
Agent_0169,intentional,7
Agent_0170,intentional,7
Agent_0171,intentional,7
Agent_0172,intentional,7
Agent_0173,intentional,7
Agent_0174,intentional,7
Agent_0175,intentional,7
Agent_0176,intentional,7
Agent_0177,intentional,7
Agent_0178,intentional,7
Agent_0179,intentional,7
Agent_0180,intentional,7
Agent_0181,intentional,7
Agent_0182,intentional,7
Agent_0183,intentional,7
Agent_0184,intentional,7
Agent_0185,intentional,7
Agent_0186,intentional,7
Agent_0187,intentional,7
Agent_0188,intentional,7
Agent_0189,intentional,7
Agent_0190,intentional,7
Agent_0191,intentional,7
Agent_0192,intentional,7
Agent_0193,intentional,7
Agent_0194,intentional,7
Agent_0195,intentional,7
Agent_0196,intentional,7
Agent_0197,intentional,7
Agent_0198,intentional,7
Agent_0199,intentional,7
Agent_0200,intentional,7
Agent_0201,intentional,7
Agent_0202,intentional,7
Agent_0203,intentional,7
Agent_0204,intentional,7
Agent_0205,intentional,7
Agent_0206,intentional,7
Agent_0207,intentional,7
Agent_0208,intentional,7
Agent_0209,intentional,7
Agent_0210,intentional,7
Agent_0211,intentional,7
Agent_0212,intentional,7
Agent_0213,intentional,7
Agent_0214,intentional,7
Agent_0215,intentional,7
Agent_0216,intentional,7
Agent_0217,intentional,7
Agent_0218,intentional,7
Agent_0219,intentional,7
Agent_0220,intentional,7
Agent_0221,intentional,7
Agent_0222,intentional,7
Agent_0223,intentional,7
Agent_0224,intentional,7
Agent_0225,intentional,7
Agent_0226,intentional,7
Agent_0227,intentional,7
Agent_0228,intentional,7
Agent_0229,intentional,7
Agent_0230,intentional,7
Agent_0231,intentional,7
Agent_0232,intentional,7
Agent_0233,intentional,7
Agent_0234,intentional,7
Agent_0235,intentional,7
Agent_0236,intentional,7
Agent_0237,intentional,7
Agent_0238,intentional,7
Agent_0239,intentional,7
Agent_0240,intentional,7
Agent_0241,intentional,7
Agent_0242,intentional,7
Agent_0243,intentional,7
Agent_0244,intentional,7
Agent_0245,intentional,7
Agent_0246,intentional,7
Agent_0247,intentional,7
Agent_0248,intentional,7
Agent_0249,intentional,7
Agent_0250,intentional,7
Agent_0251,intentional,7
Agent_0252,intentional,7
Agent_0253,intentional,7
Agent_0254,intentional,7
Agent_0255,intentional,7
Agent_0256,intentional,7
Agent_0257,intentional,7
Agent_0258,intentional,7
Agent_0259,intentional,7
Agent_0260,intentional,7
Agent_0261,intentional,7
Agent_0262,intentional,7
Agent_0263,intentional,7
Agent_0264,intentional,7
Agent_0265,intentional,7
Agent_0266,intentional,7
Agent_0267,intentional,7
Agent_0268,intentional,7
Agent_0269,intentional,7
Agent_0270,intentional,7
Agent_0271,intentional,7
Agent_0272,intentional,7
Agent_0273,intentional,7
Agent_0274,intentional,7
Agent_0275,intentional,7
Agent_0276,intentional,7
Agent_0277,intentional,7
Agent_0278,intentional,7
Agent_0279,intentional,7
Agent_0280,intentional,7
Agent_0281,intentional,7
Agent_0282,intentional,7
Agent_0283,intentional,7
Agent_0284,intentional,7
Agent_0285,intentional,7
Agent_0286,intentional,7
Agent_0287,intentional,7
Agent_0288,intentional,7
Agent_0289,intentional,7
Agent_0290,intentional,7
Agent_0291,intentional,7
Agent_0292,intentional,7
Agent_0293,intentional,7
Agent_0294,intentional,7
Agent_0295,intentional,7
Agent_0296,intentional,7
Agent_0297,intentional,7
Agent_0298,intentional,7
Agent_0299,intentional,7
Agent_0300,intentional,7
Agent_0301,intentional,7
Agent_0302,intentional,7
Agent_0303,intentional,7
Agent_0304,intentional,7
Agent_0305,intentional,7
Agent_0306,intentional,7
Agent_0307,intentional,7
Agent_0308,intentional,7
Agent_0309,intentional,7
Agent_0310,intentional,7
Agent_0311,intentional,7
Agent_0312,intentional,7
Agent_0313,intentional,7
Agent_0314,intentional,7
Agent_0315,intentional,7
Agent_0316,intentional,7
Agent_0317,intentional,7
Agent_0318,intentional,7
Agent_0319,intentional,7
Agent_0320,intentional,7
Agent_0321,intentional,7
Agent_0322,intentional,7
Agent_0323,intentional,7
