rus_id,procedure,outcome,condition,rating
RUS_0001,Fair,Loss,Fair_Loss,3
RUS_0001,Fair,Gain,Fair_Gain,6
RUS_0001,Unfair,Loss,Unfair_Loss,6
RUS_0001,Unfair,Gain,Unfair_Gain,6
RUS_0002,Fair,Loss,Fair_Loss,5
RUS_0002,Fair,Gain,Fair_Gain,6
RUS_0002,Unfair,Loss,Unfair_Loss,6
RUS_0002,Unfair,Gain,Unfair_Gain,7
RUS_0003,Fair,Loss,Fair_Loss,3
RUS_0003,Fair,Gain,Fair_Gain,6
RUS_0003,Unfair,Loss,Unfair_Loss,5
RUS_0003,Unfair,Gain,Unfair_Gain,7
RUS_0004,Fair,Loss,Fair_Loss,4
RUS_0004,Fair,Gain,Fair_Gain,6
RUS_0004,Unfair,Loss,Unfair_Loss,6
RUS_0004,Unfair,Gain,Unfair_Gain,7
RUS_0005,Fair,Loss,Fair_Loss,3
RUS_0005,Fair,Gain,Fair_Gain,6
RUS_0005,Unfair,Loss,Unfair_Loss,6
RUS_0005,Unfair,Gain,Unfair_Gain,7
RUS_0006,Fair,Loss,Fair_Loss,4
RUS_0006,Fair,Gain,Fair_Gain,6
RUS_0006,Unfair,Loss,Unfair_Loss,6
RUS_0006,Unfair,Gain,Unfair_Gain,7
RUS_0007,Fair,Loss,Fair_Loss,2
RUS_0007,Fair,Gain,Fair_Gain,6
RUS_0007,Unfair,Loss,Unfair_Loss,5
RUS_0007,Unfair,Gain,Unfair_Gain,7
RUS_0008,Fair,Loss,Fair_Loss,4
RUS_0008,Fair,Gain,Fair_Gain,6
RUS_0008,Unfair,Loss,Unfair_Loss,5
RUS_0008,Unfair,Gain,Unfair_Gain,7
RUS_0009,Fair,Loss,Fair_Loss,3
RUS_0009,Fair,Gain,Fair_Gain,6
RUS_0009,Unfair,Loss,Unfair_Loss,5
RUS_0009,Unfair,Gain,Unfair_Gain,7
RUS_0010,Fair,Loss,Fair_Loss,3
RUS_0010,Fair,Gain,Fair_Gain,6
RUS_0010,Unfair,Loss,Unfair_Loss,6
RUS_0010,Unfair,Gain,Unfair_Gain,7
RUS_0011,Fair,Loss,Fair_Loss,2
RUS_0011,Fair,Gain,Fair_Gain,6
RUS_0011,Unfair,Loss,Unfair_Loss,5
RUS_0011,Unfair,Gain,Unfair_Gain,7
RUS_0012,Fair,Loss,Fair_Loss,5
RUS_0012,Fair,Gain,Fair_Gain,6
RUS_0012,Unfair,Loss,Unfair_Loss,6
RUS_0012,Unfair,Gain,Unfair_Gain,7
RUS_0013,Fair,Loss,Fair_Loss,3
RUS_0013,Fair,Gain,Fair_Gain,6
RUS_0013,Unfair,Loss,Unfair_Loss,6
RUS_0013,Unfair,Gain,Unfair_Gain,7
RUS_0014,Fair,Loss,Fair_Loss,3
RUS_0014,Fair,Gain,Fair_Gain,6
RUS_0014,Unfair,Loss,Unfair_Loss,5
RUS_0014,Unfair,Gain,Unfair_Gain,6
RUS_0015,Fair,Loss,Fair_Loss,5
RUS_0015,Fair,Gain,Fair_Gain,6
RUS_0015,Unfair,Loss,Unfair_Loss,6
RUS_0015,Unfair,Gain,Unfair_Gain,7
RUS_0016,Fair,Loss,Fair_Loss,3
RUS_0016,Fair,Gain,Fair_Gain,6
RUS_0016,Unfair,Loss,Unfair_Loss,6
RUS_0016,Unfair,Gain,Unfair_Gain,7
RUS_0017,Fair,Loss,Fair_Loss,4
RUS_0017,Fair,Gain,Fair_Gain,6
RUS_0017,Unfair,Loss,Unfair_Loss,6
RUS_0017,Unfair,Gain,Unfair_Gain,7
RUS_0018,Fair,Loss,Fair_Loss,4
RUS_0018,Fair,Gain,Fair_Gain,6
RUS_0018,Unfair,Loss,Unfair_Loss,6
RUS_0018,Unfair,Gain,Unfair_Gain,7
RUS_0019,Fair,Loss,Fair_Loss,3
RUS_0019,Fair,Gain,Fair_Gain,6
RUS_0019,Unfair,Loss,Unfair_Loss,6
RUS_0019,Unfair,Gain,Unfair_Gain,7
RUS_0020,Fair,Loss,Fair_Loss,4
RUS_0020,Fair,Gain,Fair_Gain,7
RUS_0020,Unfair,Loss,Unfair_Loss,6
RUS_0020,Unfair,Gain,Unfair_Gain,7
RUS_0021,Fair,Loss,Fair_Loss,4
RUS_0021,Fair,Gain,Fair_Gain,6
RUS_0021,Unfair,Loss,Unfair_Loss,6
RUS_0021,Unfair,Gain,Unfair_Gain,7
RUS_0022,Fair,Loss,Fair_Loss,4
RUS_0022,Fair,Gain,Fair_Gain,6
RUS_0022,Unfair,Loss,Unfair_Loss,6
RUS_0022,Unfair,Gain,Unfair_Gain,7
RUS_0023,Fair,Loss,Fair_Loss,5
RUS_0023,Fair,Gain,Fair_Gain,6
RUS_0023,Unfair,Loss,Unfair_Loss,6
RUS_0023,Unfair,Gain,Unfair_Gain,7
RUS_0024,Fair,Loss,Fair_Loss,5
RUS_0024,Fair,Gain,Fair_Gain,6
RUS_0024,Unfair,Loss,Unfair_Loss,6
RUS_0024,Unfair,Gain,Unfair_Gain,7
RUS_0025,Fair,Loss,Fair_Loss,4
RUS_0025,Fair,Gain,Fair_Gain,6
RUS_0025,Unfair,Loss,Unfair_Loss,6
RUS_0025,Unfair,Gain,Unfair_Gain,7
RUS_0026,Fair,Loss,Fair_Loss,3
RUS_0026,Fair,Gain,Fair_Gain,7
RUS_0026,Unfair,Loss,Unfair_Loss,6
RUS_0026,Unfair,Gain,Unfair_Gain,7
RUS_0027,Fair,Loss,Fair_Loss,3
RUS_0027,Fair,Gain,Fair_Gain,5
RUS_0027,Unfair,Loss,Unfair_Loss,5
RUS_0027,Unfair,Gain,Unfair_Gain,7
RUS_0028,Fair,Loss,Fair_Loss,2
RUS_0028,Fair,Gain,Fair_Gain,7
RUS_0028,Unfair,Loss,Unfair_Loss,4
RUS_0028,Unfair,Gain,Unfair_Gain,7
RUS_0029,Fair,Loss,Fair_Loss,3
RUS_0029,Fair,Gain,Fair_Gain,6
RUS_0029,Unfair,Loss,Unfair_Loss,5
RUS_0029,Unfair,Gain,Unfair_Gain,6
RUS_0030,Fair,Loss,Fair_Loss,5
RUS_0030,Fair,Gain,Fair_Gain,6
RUS_0030,Unfair,Loss,Unfair_Loss,6
RUS_0030,Unfair,Gain,Unfair_Gain,7
RUS_0031,Fair,Loss,Fair_Loss,5
RUS_0031,Fair,Gain,Fair_Gain,6
RUS_0031,Unfair,Loss,Unfair_Loss,6
RUS_0031,Unfair,Gain,Unfair_Gain,7
RUS_0032,Fair,Loss,Fair_Loss,4
RUS_0032,Fair,Gain,Fair_Gain,6
RUS_0032,Unfair,Loss,Unfair_Loss,6
RUS_0032,Unfair,Gain,Unfair_Gain,7
RUS_0033,Fair,Loss,Fair_Loss,3
RUS_0033,Fair,Gain,Fair_Gain,6
RUS_0033,Unfair,Loss,Unfair_Loss,5
RUS_0033,Unfair,Gain,Unfair_Gain,7
RUS_0034,Fair,Loss,Fair_Loss,5
RUS_0034,Fair,Gain,Fair_Gain,6
RUS_0034,Unfair,Loss,Unfair_Loss,6
RUS_0034,Unfair,Gain,Unfair_Gain,7
RUS_0035,Fair,Loss,Fair_Loss,5
RUS_0035,Fair,Gain,Fair_Gain,6
RUS_0035,Unfair,Loss,Unfair_Loss,6
RUS_0035,Unfair,Gain,Unfair_Gain,7
RUS_0036,Fair,Loss,Fair_Loss,3
RUS_0036,Fair,Gain,Fair_Gain,5
RUS_0036,Unfair,Loss,Unfair_Loss,5
RUS_0036,Unfair,Gain,Unfair_Gain,6
RUS_0037,Fair,Loss,Fair_Loss,3
RUS_0037,Fair,Gain,Fair_Gain,5
RUS_0037,Unfair,Loss,Unfair_Loss,5
RUS_0037,Unfair,Gain,Unfair_Gain,6
RUS_0038,Fair,Loss,Fair_Loss,3
RUS_0038,Fair,Gain,Fair_Gain,6
RUS_0038,Unfair,Loss,Unfair_Loss,5
RUS_0038,Unfair,Gain,Unfair_Gain,7
RUS_0039,Fair,Loss,Fair_Loss,4
RUS_0039,Fair,Gain,Fair_Gain,7
RUS_0039,Unfair,Loss,Unfair_Loss,5
RUS_0039,Unfair,Gain,Unfair_Gain,7
RUS_0040,Fair,Loss,Fair_Loss,3
RUS_0040,Fair,Gain,Fair_Gain,6
RUS_0040,Unfair,Loss,Unfair_Loss,6
RUS_0040,Unfair,Gain,Unfair_Gain,7
RUS_0041,Fair,Loss,Fair_Loss,4
RUS_0041,Fair,Gain,Fair_Gain,6
RUS_0041,Unfair,Loss,Unfair_Loss,6
RUS_0041,Unfair,Gain,Unfair_Gain,7
RUS_0042,Fair,Loss,Fair_Loss,2
RUS_0042,Fair,Gain,Fair_Gain,6
RUS_0042,Unfair,Loss,Unfair_Loss,5
RUS_0042,Unfair,Gain,Unfair_Gain,7
RUS_0043,Fair,Loss,Fair_Loss,2
RUS_0043,Fair,Gain,Fair_Gain,7
RUS_0043,Unfair,Loss,Unfair_Loss,6
RUS_0043,Unfair,Gain,Unfair_Gain,7
RUS_0044,Fair,Loss,Fair_Loss,3
RUS_0044,Fair,Gain,Fair_Gain,7
RUS_0044,Unfair,Loss,Unfair_Loss,6
RUS_0044,Unfair,Gain,Unfair_Gain,7
RUS_0045,Fair,Loss,Fair_Loss,3
RUS_0045,Fair,Gain,Fair_Gain,6
RUS_0045,Unfair,Loss,Unfair_Loss,5
RUS_0045,Unfair,Gain,Unfair_Gain,7
RUS_0046,Fair,Loss,Fair_Loss,5
RUS_0046,Fair,Gain,Fair_Gain,6
RUS_0046,Unfair,Loss,Unfair_Loss,6
RUS_0046,Unfair,Gain,Unfair_Gain,7
RUS_0047,Fair,Loss,Fair_Loss,3
RUS_0047,Fair,Gain,Fair_Gain,6
RUS_0047,Unfair,Loss,Unfair_Loss,6
RUS_0047,Unfair,Gain,Unfair_Gain,7
RUS_0048,Fair,Loss,Fair_Loss,4
RUS_0048,Fair,Gain,Fair_Gain,6
RUS_0048,Unfair,Loss,Unfair_Loss,6
RUS_0048,Unfair,Gain,Unfair_Gain,7
RUS_0049,Fair,Loss,Fair_Loss,5
RUS_0049,Fair,Gain,Fair_Gain,6
RUS_0049,Unfair,Loss,Unfair_Loss,6
RUS_0049,Unfair,Gain,Unfair_Gain,7
RUS_0050,Fair,Loss,Fair_Loss,3
RUS_0050,Fair,Gain,Fair_Gain,6
RUS_0050,Unfair,Loss,Unfair_Loss,6
RUS_0050,Unfair,Gain,Unfair_Gain,7
RUS_0051,Fair,Loss,Fair_Loss,4
RUS_0051,Fair,Gain,Fair_Gain,6
RUS_0051,Unfair,Loss,Unfair_Loss,6
RUS_0051,Unfair,Gain,Unfair_Gain,7
RUS_0052,Fair,Loss,Fair_Loss,4
RUS_0052,Fair,Gain,Fair_Gain,6
RUS_0052,Unfair,Loss,Unfair_Loss,6
RUS_0052,Unfair,Gain,Unfair_Gain,7
RUS_0053,Fair,Loss,Fair_Loss,4
RUS_0053,Fair,Gain,Fair_Gain,6
RUS_0053,Unfair,Loss,Unfair_Loss,6
RUS_0053,Unfair,Gain,Unfair_Gain,7
RUS_0054,Fair,Loss,Fair_Loss,4
RUS_0054,Fair,Gain,Fair_Gain,6
RUS_0054,Unfair,Loss,Unfair_Loss,6
RUS_0054,Unfair,Gain,Unfair_Gain,7
RUS_0055,Fair,Loss,Fair_Loss,5
RUS_0055,Fair,Gain,Fair_Gain,6
RUS_0055,Unfair,Loss,Unfair_Loss,6
RUS_0055,Unfair,Gain,Unfair_Gain,6
RUS_0056,Fair,Loss,Fair_Loss,4
RUS_0056,Fair,Gain,Fair_Gain,6
RUS_0056,Unfair,Loss,Unfair_Loss,6
RUS_0056,Unfair,Gain,Unfair_Gain,7
RUS_0057,Fair,Loss,Fair_Loss,5
RUS_0057,Fair,Gain,Fair_Gain,6
RUS_0057,Unfair,Loss,Unfair_Loss,6
RUS_0057,Unfair,Gain,Unfair_Gain,7
RUS_0058,Fair,Loss,Fair_Loss,3
RUS_0058,Fair,Gain,Fair_Gain,6
RUS_0058,Unfair,Loss,Unfair_Loss,6
RUS_0058,Unfair,Gain,Unfair_Gain,7
RUS_0059,Fair,Loss,Fair_Loss,5
