group_id,RED_id,RED_choice,BLUE_id,BLUE_choice,GREEN_id,GREEN_choice,condition
1,RUS_0065,Triangle,RUS_0456,Triangle,RUS_0779,I,with_intervention
2,RUS_0679,Square,RUS_0974,Triangle,RUS_0796,O,without_intervention
3,RUS_0802,Triangle,RUS_0653,Triangle,RUS_0564,I,with_intervention
4,RUS_0544,Square,RUS_0509,Triangle,RUS_0905,I,with_intervention
5,RUS_0241,Triangle,RUS_0186,Triangle,RUS_0720,O,without_intervention
6,RUS_0562,Triangle,RUS_0812,Square,RUS_0007,O,without_intervention
7,RUS_0724,Square,RUS_0707,Square,RUS_0790,O,without_intervention
8,RUS_0838,Square,RUS_0493,Triangle,RUS_0199,O,without_intervention
9,RUS_0230,Triangle,RUS_0551,Triangle,RUS_0993,I,with_intervention
10,RUS_0577,Triangle,RUS_0772,Triangle,RUS_0066,I,with_intervention
11,RUS_0791,Square,RUS_0154,Square,RUS_0733,O,without_intervention
12,RUS_0765,Triangle,RUS_0998,Square,RUS_0750,O,without_intervention
13,RUS_0797,Square,RUS_0896,Square,RUS_0172,O,without_intervention
14,RUS_0793,Triangle,RUS_0322,Triangle,RUS_0726,I,with_intervention
15,RUS_0894,Square,RUS_0972,Square,RUS_0575,O,without_intervention
16,RUS_0650,Square,RUS_0604,Triangle,RUS_0184,I,with_intervention
17,RUS_0428,Triangle,RUS_0730,Square,RUS_0046,I,with_intervention
18,RUS_0018,Square,RUS_0101,Triangle,RUS_0037,O,without_intervention
19,RUS_0075,Triangle,RUS_0545,Square,RUS_0952,I,with_intervention
20,RUS_0480,Square,RUS_0117,Triangle,RUS_0122,I,with_intervention
21,RUS_0586,Square,RUS_0741,Square,RUS_0907,O,without_intervention
22,RUS_0957,Triangle,RUS_0369,Triangle,RUS_0274,I,with_intervention
23,RUS_0899,Square,RUS_0082,Triangle,RUS_0918,I,with_intervention
24,RUS_0927,Triangle,RUS_0374,Triangle,RUS_0991,I,with_intervention
25,RUS_0429,Square,RUS_0119,Triangle,RUS_0039,I,with_intervention
26,RUS_0283,Triangle,RUS_0599,Triangle,RUS_0727,O,without_intervention
27,RUS_0722,Triangle,RUS_0073,Triangle,RUS_0936,O,without_intervention
28,RUS_0485,Triangle,RUS_0408,Triangle,RUS_0175,O,without_intervention
29,RUS_0530,Square,RUS_0499,Square,RUS_0732,O,without_intervention
30,RUS_0999,Square,RUS_0284,Triangle,RUS_0388,I,with_intervention
31,RUS_0253,Triangle,RUS_0294,Triangle,RUS_0420,I,with_intervention
32,RUS_0827,Triangle,RUS_0110,Square,RUS_0882,O,without_intervention
33,RUS_0969,Triangle,RUS_0445,Square,RUS_0865,I,with_intervention
34,RUS_0309,Triangle,RUS_0841,Triangle,RUS_0540,I,with_intervention
35,RUS_0550,Triangle,RUS_0141,Triangle,RUS_0666,O,without_intervention
36,RUS_0985,Square,RUS_0272,Square,RUS_0917,O,without_intervention
37,RUS_0143,Square,RUS_0444,Triangle,RUS_0533,O,without_intervention
38,RUS_0285,Triangle,RUS_0111,Triangle,RUS_0626,I,with_intervention
39,RUS_0828,Triangle,RUS_0295,Triangle,RUS_0531,I,with_intervention
40,RUS_0353,Triangle,RUS_0965,Triangle,RUS_0745,O,without_intervention
41,RUS_0376,Square,RUS_0389,Triangle,RUS_0235,I,with_intervention
42,RUS_0859,Square,RUS_0104,Square,RUS_0338,O,without_intervention
43,RUS_0155,Triangle,RUS_0460,Triangle,RUS_0492,O,without_intervention
44,RUS_0045,Square,RUS_0214,Triangle,RUS_0461,I,with_intervention
45,RUS_0786,Triangle,RUS_0014,Triangle,RUS_0589,I,with_intervention
46,RUS_0845,Triangle,RUS_0919,Square,RUS_0268,I,with_intervention
47,RUS_0541,Triangle,RUS_0846,Square,RUS_0114,O,without_intervention
48,RUS_0766,Triangle,RUS_0343,Triangle,RUS_0327,I,with_intervention
49,RUS_0477,Triangle,RUS_0482,Square,RUS_0913,I,with_intervention
50,RUS_0021,Triangle,RUS_0635,Triangle,RUS_0944,O,without_intervention
51,RUS_0997,Square,RUS_0704,Square,RUS_0001,I,with_intervention
52,RUS_0584,Triangle,RUS_0794,Triangle,RUS_0903,I,with_intervention
53,RUS_0107,Square,RUS_0256,Triangle,RUS_0694,I,with_intervention
54,RUS_0764,Triangle,RUS_0909,Square,RUS_0587,I,with_intervention
55,RUS_0151,Triangle,RUS_0048,Triangle,RUS_0033,I,with_intervention
56,RUS_0473,Square,RUS_0207,Square,RUS_0616,O,without_intervention
57,RUS_0607,Square,RUS_0096,Square,RUS_0080,O,without_intervention
58,RUS_0675,Square,RUS_0242,Triangle,RUS_0058,I,with_intervention
59,RUS_0206,Triangle,RUS_0735,Square,RUS_0674,I,with_intervention
60,RUS_0030,Triangle,RUS_0299,Triangle,RUS_0407,I,with_intervention
61,RUS_0561,Triangle,RUS_0723,Triangle,RUS_0689,I,with_intervention
62,RUS_0717,Square,RUS_0391,Square,RUS_0514,O,without_intervention
63,RUS_0281,Triangle,RUS_0855,Square,RUS_0191,O,without_intervention
64,RUS_0124,Triangle,RUS_0091,Triangle,RUS_0317,O,without_intervention
65,RUS_0495,Triangle,RUS_1000,Triangle,RUS_0574,I,with_intervention
66,RUS_0767,Triangle,RUS_0447,Triangle,RUS_0973,I,with_intervention
67,RUS_0177,Triangle,RUS_0949,Square,RUS_0083,O,without_intervention
68,RUS_0471,Triangle,RUS_0705,Square,RUS_0798,I,with_intervention
69,RUS_0017,Square,RUS_0116,Square,RUS_0781,O,without_intervention
70,RUS_0148,Triangle,RUS_0174,Square,RUS_0232,I,with_intervention
71,RUS_0708,Triangle,RUS_0881,Square,RUS_0072,O,without_intervention
72,RUS_0422,Square,RUS_0655,Triangle,RUS_0994,I,with_intervention
73,RUS_0425,Triangle,RUS_0736,Square,RUS_0227,I,with_intervention
74,RUS_0170,Square,RUS_0202,Square,RUS_0968,O,without_intervention
75,RUS_0074,Square,RUS_0758,Triangle,RUS_0609,I,with_intervention
76,RUS_0077,Square,RUS_0737,Triangle,RUS_0098,O,without_intervention
77,RUS_0311,Triangle,RUS_0022,Square,RUS_0527,O,without_intervention
78,RUS_0614,Triangle,RUS_0630,Square,RUS_0815,O,without_intervention
79,RUS_0673,Triangle,RUS_0900,Triangle,RUS_0032,O,without_intervention
80,RUS_0810,Square,RUS_0455,Triangle,RUS_0313,I,with_intervention
81,RUS_0120,Square,RUS_0901,Square,RUS_0715,O,without_intervention
82,RUS_0605,Triangle,RUS_0351,Triangle,RUS_0171,I,with_intervention
83,RUS_0753,Triangle,RUS_0964,Triangle,RUS_0856,I,with_intervention
84,RUS_0053,Triangle,RUS_0318,Triangle,RUS_0560,I,with_intervention
85,RUS_0581,Square,RUS_0163,Square,RUS_0161,O,without_intervention
86,RUS_0197,Square,RUS_0592,Triangle,RUS_0289,O,without_intervention
87,RUS_0134,Triangle,RUS_0719,Triangle,RUS_0547,I,with_intervention
88,RUS_0426,Triangle,RUS_0137,Square,RUS_0760,O,without_intervention
89,RUS_0830,Triangle,RUS_0432,Square,RUS_0769,O,without_intervention
90,RUS_0147,Triangle,RUS_0671,Square,RUS_0712,I,with_intervention
91,RUS_0578,Square,RUS_0173,Square,RUS_0308,O,without_intervention
92,RUS_0654,Square,RUS_0634,Triangle,RUS_0754,O,without_intervention
93,RUS_0004,Triangle,RUS_0040,Triangle,RUS_0698,I,with_intervention
